,Fecha,Compra,Venta,E
162,2015-07-31,14.072272727272725,14.226818181818182,14.149545454545454
163,2015-08-31,15.086500000000001,15.236500000000001,15.1615
164,2015-09-30,15.604545454545455,15.754545454545456,15.679545454545455
165,2015-10-31,15.71952380952381,15.869523809523809,15.79452380952381
166,2015-11-30,15.003684210526316,15.153684210526317,15.078684210526315
167,2015-12-31,14.297,14.447,14.372
168,2016-01-31,13.988,14.363,14.1755
169,2016-02-29,14.619473684210526,15.019473684210526,14.819473684210525
170,2016-03-31,15.152857142857142,15.557619047619047,15.355238095238095
171,2016-04-30,14.495238095238093,14.895238095238096,14.695238095238095
172,2016-05-31,14.235238095238095,14.634761904761904,14.434999999999999
173,2016-06-30,14.1585,14.5585,14.3585
174,2016-07-31,14.839500000000001,15.244499999999999,15.042
175,2016-08-31,15.002727272727272,15.402727272727274,15.202727272727273
176,2016-09-30,15.137727272727274,15.537727272727272,15.337727272727273
177,2016-10-31,15.187000000000001,15.587,15.387
178,2016-11-30,15.307142857142857,15.707142857142859,15.507142857142858
179,2016-12-31,16.159,16.564,16.3615
180,2017-01-31,16.453181818181818,16.853181818181817,16.653181818181817
181,2017-02-28,16.030555555555555,16.424999999999997,16.227777777777774
182,2017-03-31,15.662272727272727,16.062272727272727,15.862272727272728
183,2017-04-30,15.521666666666667,15.921666666666665,15.721666666666666
184,2017-05-31,15.699523809523809,16.104761904761904,15.902142857142856
185,2017-06-30,16.113333333333333,16.513333333333335,16.313333333333333
186,2017-07-31,17.240952380952383,17.69047619047619,17.465714285714284
187,2017-08-31,17.87681818181818,18.276818181818182,18.076818181818183
188,2017-09-30,17.547619047619047,17.947619047619046,17.747619047619047
189,2017-10-31,17.575238095238095,17.973809523809525,17.77452380952381
190,2017-11-30,17.656,18.051,17.853499999999997
191,2017-12-31,17.892631578947366,18.297894736842107,18.095263157894735
192,2018-01-31,19.264545454545456,19.664545454545454,19.464545454545455
193,2018-02-28,19.685555555555553,20.146666666666665,19.916111111111107
194,2018-03-31,20.344,20.744,20.544
195,2018-04-30,20.271578947368422,20.67157894736842,20.47157894736842
196,2018-05-31,23.87904761904762,24.609999999999996,24.244523809523805
197,2018-06-30,26.49,27.455000000000002,26.9725
198,2018-07-31,27.74761904761905,28.746666666666663,28.247142857142855
